,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:04:43.507Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:04:43.508Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:08:53.843Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:08:53.844Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:08:53.844Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:14:41.011Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:14:41.011Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:14:41.011Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:15:26.781Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:15:26.782Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:15:26.782Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:17:03.549Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:17:03.549Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:17:03.549Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:18:18.644Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:18:18.644Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:18:18.644Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:19:31.232Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:19:31.232Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:19:31.232Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:20:25.229Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:20:25.230Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:20:25.230Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:21:33.382Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:21:33.383Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:21:33.383Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:24:46.155Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:24:46.155Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:24:46.155Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:26:49.780Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:26:49.780Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-16T19:26:49.780Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-17T06:49:39.771Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
,Early stage investor at Peak,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-17T06:49:39.771Z,https://www.linkedin.com/in/choksisiddharth,Siddharth Choksi,Siddharth,Choksi,3.0
,Commercial Director at Beauty2People | International business development | Digital marketeer | Growth trough performance,Arnhem-Nijmegen Bölgesi,https://www.linkedin.com/company/lalaland-ai,2022-08-17T06:49:39.772Z,https://www.linkedin.com/in/sasja-leenders-04251a6,Sasja Leenders,Sasja,Leenders,3.0
,Founder & CEO at Lalaland,Amsterdam,https://www.linkedin.com/company/lalaland-ai,2022-08-17T06:53:07.193Z,https://www.linkedin.com/in/michaelmusandu,Michael Musandu,Michael,Musandu,3.0
